"","Gender","Age","Department","Response","Satisfaction","Statement"
"5364","Male","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5365","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5366","Male","36-45","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5367","Male","Below 35","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5368","Female","Below 35","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5369","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5370","Male","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5371","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5372","Female","Below 35","Devolution","Agree","Feedback","I am given adequate feedback about my performance."
"5373","Female","36-45","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5374","Male","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5375","Male","Above 55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5376","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5377","Male","Above 55","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5378","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5379","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5380","Male","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5381","Male","36-45","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5382","Male","46-55","Health","Neutral","Feedback","I am given adequate feedback about my performance."
"5383","Male","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5384","Female","36-45","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5385","Male","36-45","Transport","Agree","Feedback","I am given adequate feedback about my performance."
"5386","Female","46-55","OOG","Agree","Feedback","I am given adequate feedback about my performance."
"5387","Male","Below 35","Agriculture","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5388","Male","36-45","Trade","Disagree","Feedback","I am given adequate feedback about my performance."
"5389","Male","Below 35","Health","Disagree","Feedback","I am given adequate feedback about my performance."
"5390","Female","Below 35","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5391","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5392","Female","36-45","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5393","Male","46-55","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5394","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5395","Female","Below 35","Agriculture","Agree","Feedback","I am given adequate feedback about my performance."
"5396","Male","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5397","Female","46-55",NA,"Disagree","Feedback","I am given adequate feedback about my performance."
"5398","Male","Below 35","YGSS","Neutral","Feedback","I am given adequate feedback about my performance."
"5399","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5400","Male","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5401","Female","46-55","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5402","Male","Above 55","Health","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5403","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5404","Male","36-45","Devolution","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5405","Male","Above 55","Agriculture","Disagree","Feedback","I am given adequate feedback about my performance."
"5406","Female","46-55","Finance","Agree","Feedback","I am given adequate feedback about my performance."
"5407","Female","46-55","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5408","Female","Below 35","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5409","Male","Above 55","Trade","Agree","Feedback","I am given adequate feedback about my performance."
"5410","Male","36-45","Finance","Neutral","Feedback","I am given adequate feedback about my performance."
"5411","Female","Below 35","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5412","Male","Above 55","Finance","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5413","Female","36-45","Education","Neutral","Feedback","I am given adequate feedback about my performance."
"5414","Female","36-45","Education","Disagree","Feedback","I am given adequate feedback about my performance."
"5415","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5416","Female","46-55","Education","Agree","Feedback","I am given adequate feedback about my performance."
"5417","Female","36-45","Education","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5418","Male","Below 35","Finance","Strongly Agree","Feedback","I am given adequate feedback about my performance."
"5419","Female","46-55","Trade","Agree","Feedback","I am given adequate feedback about my performance."
"5420","Female","36-45","Health","Agree","Feedback","I am given adequate feedback about my performance."
"5421","Male","Below 35","Finance","Agree","Feedback","I receive feedback that helps me improve my performance."
"5422","Male","46-55","Agriculture","Agree","Feedback","I receive feedback that helps me improve my performance."
"5423","Female","46-55","Education","Agree","Feedback","I receive feedback that helps me improve my performance."
